Author,Original,Translated,Score,Category
@AIArtnSoundscapes,Can we have the names of the singers?,Can we have the names of the singers?,0.0,Neutral
@CarlosKassab-z9l,how can I buy the MP3 files of your music?,how can I buy the MP3 files of your music?,0.0,Neutral
@graphikeye,Ai slop is here folks,Ai slop is here folks,0.0,Neutral
@sportsspirits,Merci beaucoup,Thank you so much,0.3612,Positive
@abhygailcabacungan4201,please make this playlist on spotify,please make this playlist on spotify,0.3182,Positive
@mutatshelisee6347,"""Tournent brise "" ❤ très beau son attendrissant","“Tournent breeze” ❤ very beautiful, touching sound",0.8553,Positive
@andrewbeattie9918,Beautiful and refreshing ✨️ 💕 even though I cannot understand one French word. The tender and soft tones are  spellbinding!! The Belfast poet Andrew Beattie. Food for thought...,Beautiful and refreshing ✨️ 💕 even though I cannot understand one French word. The tender and soft tones are  spellbinding!! The Belfast poet Andrew Beattie. Food for thought...,0.8684,Positive
@grant6991,"this music, some clear chicken soup and a cloudy day got me feeling like the main character","this music, some clear chicken soup and a cloudy day got me feeling like the main character",0.6808,Positive
@100t_,"Why do French citizens just stand by and watch pickpockets?
And why do they loot nearby shops during protests?
France seems to have such a lack of civic awareness.","Why do French citizens just stand by and watch pickpockets?
And why do they loot nearby shops during protests?
France seems to have such a lack of civic awareness.",-0.5514,Negative
@uncz2011,I'll just sit her and daydream about the woman and her gorgeous eyes that I am talking to.,I'll just sit her and daydream about the woman and her gorgeous eyes that I am talking to.,0.6124,Positive
@22Vermeer6,"We know that it is AI generated.  But, it does not eliminate its appeal.  I just want content creators to be upfront about how the work was done.  If songs are sung by a person, that singer should have their names credited.  That's all.","We know that it is AI generated.  But, it does not eliminate its appeal.  I just want content creators to be upfront about how the work was done.  If songs are sung by a person, that singer should have their names credited.  That's all.",0.5719,Positive
@IsmaelMontoya-kx6ce,Very pretty!! <3,Very pretty!! <3,0.805,Positive
@GabrielSantos-ri1os,où je trouve les accords?,where do I find the chords?,0.0,Neutral
@larosechanteemusic,"This music is really relaxing , thanks","This music is really relaxing , thanks",0.7688,Positive
@antoinemarch1775,"These songs are a soothing lullaby to the stressed, worried, and anxiety ridden mind. French in my opinion is the most beautiful language in the world.","These songs are a soothing lullaby to the stressed, worried, and anxiety ridden mind. French in my opinion is the most beautiful language in the world.",0.2944,Positive
@davidko8023,무해한 느낌이네요! 숙취에 시달린 다음날 듣기 좋은,It feels harmless! Good to listen to the day after suffering from a hangover,0.2714,Positive
@sue8302,"Too many ads, I'm leaving","Too many ads, I'm leaving",0.0,Neutral
@Chase-r7i4i,Bonjour,Bonjour,0.0,Neutral
@josevictorsanchezavina1483,2025 11 07 anyone ?         ❤😮,2025 11 07 anyone ?         ❤😮,0.6369,Positive
@eleidarojas7494,"💎✏️📚💫 Really interesting for learning French language...Pretty chanson J'aimé bien, merci beaucoup","💎✏️📚💫 Really interesting for learning French language...Pretty song I liked it, thank you very much",0.7501,Positive
@canal-selecciones,"This serene Parisian atmosphere transported me directly to a quiet, sunny afternoon in the city of love and lights. L'ambiance de ce vidéo est comme une douce escapade en France, parfaite pour se détendre ou rêver. La mélodie douce et le bruit apaisant du café créent une harmonie qui apaise l'âme.﻿ Merci de partager cette belle ambiance musicale, qui me fait presque sentir le parfum du café et le souffle du vent dans les rue pavées. C’est exactement ce dont j’avais besoin pour un moment de détente. 🌸☕🎶","This serene Parisian atmosphere transported me directly to a quiet, sunny afternoon in the city of love and lights. The atmosphere of this video is like a sweet getaway to France, perfect for relaxing or dreaming. The gentle melody and the soothing sound of the coffee create a harmony that soothes the soul.﻿ Thank you for sharing this beautiful musical ambiance, which makes me almost smell the scent of the coffee and the blow of the wind on the cobblestone streets. This is exactly what I needed for a moment of relaxation. 🌸☕🎶",0.9921,Positive
@Memoriesof1950s,"Great,congratulations","Great,congratulations",0.0,Neutral
@Jesus-d3l5f,🧭🇩🇴🫂🇫🇷⚜️♥️,🧭🇩🇴🫂🇫🇷⚜️♥️,0.6369,Positive
@edithperriardreprises6819,"waowwww le mal être se ressent très fort dans la musique un peu anarchique du piano. Spéciale cette chanson. Je ne connais pas cet artiste, merci pour ton descriptif en accompagnement. Gros bisous et belle fin de journée chez toi. 🎶🎶😘😘👍👍😊😊🎵🎵🌹🌹","wowwww the unhappiness is felt very strongly in the slightly anarchic piano music. This song is special. I don't know this artist, thank you for your accompanying description. Big kisses and have a nice end to the day at your place. 🎶🎶😘😘👍👍😊😊🎵🎵🌹🌹",0.9774,Positive
@JocelynBowles-h1o,"how and where can i find the first song? ""Lettre dans le vent""","how and where can i find the first song? ""Lettre dans le vent""",0.0,Neutral
@marcoespinoza7585,Encantador!!!,Charming!!!,0.6884,Positive
@stengerthierry1621,"Je suis Français, et nous avons d'extraordinaires artistes, comme chaque pays.  Je suis infiniment navré de voir quelqu'un usurper l'identité française , utiliser cette fichue IA pour leurrer les gens, leur vendre de la succedannée pour du vrai.","I am French, and we have extraordinary artists, like every country.  I am extremely sorry to see someone usurping the French identity, using this damn AI to deceive people, to sell them fake news for real.",-0.7916,Negative
@twitcherforcofee651,❤,❤,0.6369,Positive
,Merci 🙂,Merci 🙂,0.4033,Positive
@stayhealthytv247,This is an amazing tool for students of French to learn the language. Merci Beaucoup 😘.,This is an amazing tool for students of French to learn the language. Merci Beaucoup 😘.,0.765,Positive
@yavci59music,❤❤❤,❤❤❤,0.9274,Positive
@BGM_Official_Studio2,"🎵 After listening, share your feeling with one emoji.
It makes this space gently warmer for everyone. 🌸❤","🎵 After listening, share your feeling with one emoji.
It makes this space gently warmer for everyone. 🌸❤",0.9022,Positive
@pablocarrion787,Es IA,It's AI,0.0,Neutral
@BlondishSara,what is the name of the first song and the singer ?,what is the name of the first song and the singer ?,0.0,Neutral
@haomingjin1617,"OMG the music is really good, it's a bit scary honestly knowing they are generated by AI...","OMG the music is really good, it'sa bit scary honestly knowing they are generated by AI...",0.4576,Positive
@owroot,AI btw,AI btw,0.0,Neutral
@syamsyiyah_nur,♥️,♥️,0.6369,Positive
@WayOfHaQodesh,"To whomever made this channel. Is totally listen to a channel that much like a radio station, gathered and played real French artists, that you enjoy, and shared with the world giving the real life, live musicians their proper dues and credit. A.I. is straight up hot burning garbage, and a weapon of mass enslavement and mass destruction formed against all mankind. Hard boicott on all A.I. use and channels, businesses, our anything that uses A.I. from me. Highly recommend you never use A.I.","To whomever made this channel. Is totally listen to a channel that much like a radio station, gathered and played real French artists, that you enjoy, and shared with the world giving the real life, live musicians their proper dues and credit. A.I. is straight up hot burning garbage, and a weapon of mass enslavement and mass destruction formed against all mankind. Hard boicott on all A.I. use and channels, businesses, our anything that uses A.I. from me. Highly recommend you never use A.I.",0.8977,Positive
@citymusicwandering,Nice vibe! This playlist wraps me in a quiet calm,Nice vibe! This playlist wraps me in a quiet calm,0.6588,Positive
@Guttob,"Olá amigos, eu falo diretamente do Brasil. Estou atualmente estudando o idioma Francês.. eu amo está língua.. por isto estou aqui me adequando ao idioma ❤❤ Deus abençoe todos vocês ❤❤","Hello friends, I speak directly from Brazil. I'm currently studying the French language.. I love this language.. that's why I'm here adapting to the language ❤❤ God bless you all ❤❤",0.9834,Positive
@logic_94,Where can i find the first song please??,Where can i find the first song please??,0.3939,Positive
@ND-hh7gh,Too bad this is AI. Sorry but I'd rather spend time listening to real artists and give their work some credit.,Too bad this is AI. Sorry but I'd rather spend time listening to real artists and give their work some credit.,0.25,Positive
@JoannaRuvalcaba,Les paroles sont si belles! Félicitations! J'ai bien aim'é les écouter tous 🥰,The words are so beautiful! Congratulations! I really enjoyed listening to them all 🥰,0.9707,Positive
@achmadiid8644,Why is she sleeping? Is she sleeping beauty?,Why is she sleeping? Is she sleeping beauty?,0.6322,Positive
@melovynne,음악이 아주 좋아요 플레이리스트로서 최고일거 같아요,I really like the music. I think it would be great as a playlist.,0.7841,Positive
@adaletakpnar1942,hi who is first song ? I am call but nothing dont find . Hellpp meee :(,hi who is first song ? I am call but nothing dont find . Hellpp meee :(,-0.5927,Negative
@Mel-kat-1234,This music makes me feel like the main character omgg😭❤️ I love that I speak French ❤,This music makes me feel like the main character omgg😭❤️ I love that I speak French ❤,0.8316,Positive
@Bruce.Wanye.,Who is the first singer,Who is the first singer,0.0,Neutral
@bengavinn,I'm from Indonesia and idk why I love French music 😄,I'm from Indonesia and idk why I love French music 😄,0.8519,Positive
@shatiswaranvigian9349,"Tres bien chanson, merci beaucoup","Very good song, thank you very much",0.7146,Positive
