Author,Original,Translated,Score,Category
@adrianumana8595,Muy buena canción. Gracias .,Very good song. Thank you .,0.7146,Positive
@HumbertoRodriguez-yp5xh,Me gusto mucho volverte a escuchar. Creo teniaz. 7. Años. Cuando te escuche por. Primera. Vez.,I really liked hearing you again. I think tenacious. 7. Years. When I listen to you for. First. Time.,0.4754,Positive
@Nikolai.Lutes19,I LOVE UR VOICE SO MUCH OMG SUCH A QUEEEN!,I LOVE UR VOICE SO MUCH OMG SUCH A QUEEEN!,0.6696,Positive
@minhazali3340,Its been 4 years and I'm still listening to this!!!,Its been 4 years and I'm still listening to this!!!,0.0,Neutral
@frankfay3011,T O P !!,TOP !!,0.4796,Positive
@christnelavignesants4648,How wonderfully beautiful and talented,How wonderfully beautiful and talented,0.9022,Positive
@Ланч-м4у,В школе пела перед одноклассниками?!!),Did you sing in front of your classmates at school?!!),0.0,Neutral
@aranashira2599,I listen to every song❤,I listen to every song❤,0.6369,Positive
@GermanoCastoeSilva,"A muito tempo, e através de vídeos e Programas sigo seu crescimento musical  a sua imagem tem um  carisma é a expressão da alma. Quando a alma fala, sua essência espiritual e divina se manifesta, e a pessoa brilha, conquista, aparece. É nela que reside sua força e poder. Negá-la é preferir a obscuridade. Continue assim , Boa sorte na sua Carreira musical.","For a long time, and through videos and programs I have followed his musical growth, his image has a charisma and is an expression of the soul. When the soul speaks, its spiritual and divine essence manifests, and the person shines, conquers, appears. It is in her that lies her strength and power. To deny it is to prefer obscurity. Keep it up, Good luck in your musical career.",0.8779,Positive
@Patrick-ev5su,Incredible,Incredible,0.0,Neutral
@HumbertoRodriguez-yp5xh,Y. Solista no necesitas grupo,Y. Soloist you don't need a group,0.0,Neutral
@HumbertoRodriguez-yp5xh,Eres un encanto de chica siga interpretando  danylaya,"You are a charming girl, keep playing danylaya",0.6808,Positive
@thinkinoutloud,Stunning!,Stunning!,0.4389,Positive
@МелконянАндраник,BRAVO...👍⚘️👏🤗🌟,BRAVO...👍⚘️👏🤗🌟,0.4215,Positive
@Akumidotaku,"WTF PARA LA VOZ TENIAS ANTES, AMAZING","WTF FOR THE VOICE YOU HAD BEFORE, AMAZING",0.0,Neutral
@cLairevets,Hmm,Hmm,0.0,Neutral
@МилаСолнцева-в8ь,Самородок и уникум!!!! Затмила своим вокалом всех известных певиц!,Nugget and unique!!!! She eclipsed all famous singers with her vocals!,0.0,Neutral
